=== FULL DOTTED STDLIB MODULE PATHS IMPORTED (runner/, src/, tests/) ===
__future__                         n=7   e.g. runner/anthropic.py:19
argparse                           n=1   e.g. runner/cli.py:2
ast                                n=6   e.g. tests/interaction/test_commitment.py:2
bisect                             n=1   e.g. src/pheroos_interaction/leases.py:9
concurrent.futures                 n=2   e.g. tests/interaction/test_platform_atomicity.py:3
contextlib                         n=2   e.g. runner/session.py:3
copy                               n=2   e.g. tests/interaction/test_orchestration_hardening.py:7
dataclasses                        n=9   e.g. runner/inspection.py:7
fractions                          n=5   e.g. runner/policies.py:7
functools                          n=1   e.g. tests/interaction/test_colony.py:3
hashlib                            n=28  e.g. runner/audit.py:16
http.server                        n=1   e.g. tests/interaction/test_anthropic.py:11
importlib                          n=1   e.g. tests/interaction/test_layout.py:4
importlib.util                     n=1   e.g. tests/interaction/test_inspection_cli.py:2
io                                 n=2   e.g. tests/interaction/test_anthropic.py:7
itertools                          n=2   e.g. src/pheroos_interaction/sequential.py:21
json                               n=29  e.g. runner/anthropic.py:21
math                               n=12  e.g. runner/anthropic.py:22
os                                 n=6   e.g. runner/inspection.py:10
pathlib                            n=21  e.g. runner/anthropic.py:23
random                             n=3   e.g. tests/interaction/test_leases.py:3
re                                 n=2   e.g. runner/anthropic.py:24
shutil                             n=3   e.g. tests/interaction/test_e4_shared_capacity.py:30
socket                             n=2   e.g. tests/interaction/conftest.py:2
sqlite3                            n=11  e.g. runner/audit.py:19
stat                               n=1   e.g. runner/tools.py:20
statistics                         n=1   e.g. tests/interaction/test_leases.py:4
subprocess                         n=1   e.g. tests/interaction/test_inspection_cli.py:5
sys                                n=3   e.g. runner/cli.py:5
tempfile                           n=2   e.g. runner/platform.py:15
threading                          n=3   e.g. tests/interaction/test_anthropic.py:12
time                               n=3   e.g. runner/driver.py:6
urllib.error                       n=2   e.g. runner/anthropic.py:25
urllib.parse                       n=1   e.g. runner/anthropic.py:26
urllib.request                     n=2   e.g. runner/anthropic.py:27
