total analysed blocks: 452
blocks with CC > 10: 56
blocks with CC > 20: 18
blocks with CC > 30: 8
max CC: 68

CC   RANK  LOCATOR  name
68   F     runner/audit.py:205-431  replay_run
64   F     runner/colony.py:106-286  run_colony
56   F     runner/contracts.py:507-576  workflow_spec
46   F     runner/inspection.py:275-338  _verify_execution
43   F     runner/worker.py:108-218  run_worker
40   E     runner/contracts.py:111-173  validate_schema
35   E     runner/platform.py:223-297  _decompose
31   E     runner/runtime.py:690-751  _outcome
30   D     runner/contracts.py:176-225  conforms
28   D     runner/inspection.py:341-389  replay_inspection
25   D     runner/contracts.py:328-359  _policy
24   D     runner/colony.py:65-103  _plan
23   D     runner/platform.py:392-447  commit
23   D     runner/orchestration.py:572-631  admit_children
23   D     runner/orchestration.py:233-275  _reservation_request
23   D     runner/contracts.py:406-452  task_spec
22   D     runner/session.py:58-111  create
21   D     runner/contracts.py:614-661  parse_proposal
20   C     src/pheroos_interaction/commitment.py:176-224  cross_inhibition
20   C     runner/worker.py:61-105  waiting_rule
20   C     runner/platform.py:50-105  create
20   C     runner/orchestration.py:504-537  _verify_derivation
20   C     runner/orchestration.py:300-326  _admit_tool
19   C     runner/inspection.py:132-154  _receipt
17   C     runner/runtime.py:412-468  _infer
17   C     runner/runtime.py:195-234  _conversation
17   C     runner/orchestration.py:277-298  _admit_model
16   C     runner/tools.py:306-331  _row_problems
16   C     runner/inspection.py:99-117  _source
15   C     runner/session.py:274-314  receive
15   C     runner/session.py:205-240  _reserve
14   C     runner/runtime.py:353-391  step
14   C     runner/evidence.py:242-282  source_update
13   C     runner/worker.py:18-38  _plan
13   C     runner/session.py:385-414  _publish_received
13   C     runner/runtime.py:555-598  evaluate_rule
13   C     runner/runtime.py:313-341  _state
13   C     runner/policies.py:68-112  pick_response
13   C     runner/orchestration.py:638-679  _child_declaration
13   C     runner/inspection.py:255-272  _snapshot_readonly
13   C     runner/anthropic.py:122-157  _blocks
12   C     src/pheroos_interaction/sequential.py:493-515  certify_joint_corners
12   C     src/pheroos_interaction/leases.py:14-69  lease_ttl
12   C     runner/session.py:433-445  snapshot
12   C     runner/orchestration.py:455-502  publish_derived
12   C     runner/inspection.py:76-96  _config
12   C     runner/evidence.py:107-164  _inspection_declaration
12   C     runner/contracts.py:50-66  finite_json
12   C     runner/anthropic.py:331-341  _base_url
11   C     runner/tools.py:271-282  _expected_totals
11   C     runner/runtime.py:119-158  _select_work
11   C     runner/provider.py:58-93  evaluate
11   C     runner/provider.py:19-34  _freeze
11   C     runner/inspection.py:157-177  _result
11   C     runner/audit.py:163-173  _effective_reads
11   C     runner/audit.py:54-82  __init__
