SPAN   NONBLANK LOCATOR  name
227    216    runner/audit.py:205-431  replay_run
181    179    runner/colony.py:106-286  run_colony
111    110    runner/worker.py:108-218  run_worker
75     75     runner/platform.py:223-297  _decompose
73     68     runner/inspection.py:180-252  run_inspection
70     70     runner/contracts.py:507-576  workflow_spec
66     60     src/pheroos_interaction/commitment.py:255-320  commit_value
64     64     runner/inspection.py:275-338  _verify_execution
63     63     runner/contracts.py:111-173  validate_schema
62     62     runner/runtime.py:690-751  _outcome
60     60     runner/evidence.py:107-166  _inspection_declaration
60     59     runner/orchestration.py:572-631  admit_children
57     57     runner/runtime.py:412-468  _infer
56     56     runner/platform.py:50-105  create
56     55     runner/platform.py:392-447  commit
56     53     src/pheroos_interaction/leases.py:14-69  lease_ttl
54     54     runner/session.py:58-111  create
50     50     runner/contracts.py:176-225  conforms
49     49     runner/inspection.py:341-389  replay_inspection
49     48     src/pheroos_interaction/commitment.py:176-224  cross_inhibition
48     47     runner/orchestration.py:455-502  publish_derived
48     47     runner/contracts.py:614-661  parse_proposal
47     47     runner/evidence.py:24-70  create
47     47     runner/contracts.py:406-452  task_spec
45     43     runner/worker.py:61-105  waiting_rule
45     42     runner/policies.py:68-112  pick_response
44     43     runner/runtime.py:555-598  evaluate_rule
43     43     runner/orchestration.py:233-275  _reservation_request
42     42     runner/orchestration.py:638-679  _child_declaration
42     42     runner/cli.py:8-49  main
41     41     runner/session.py:274-314  receive
41     41     runner/runtime.py:472-512  _consume
41     41     runner/evidence.py:242-282  source_update
40     40     runner/runtime.py:195-234  _conversation
40     38     runner/runtime.py:119-158  _select_work
39     39     runner/orchestration.py:53-91  create
39     39     runner/colony.py:65-103  _plan
39     38     runner/runtime.py:353-391  step
38     35     src/pheroos_interaction/sequential.py:204-241  plan_tree
37     36     runner/runtime.py:273-309  frozen_model_request
36     36     runner/session.py:205-240  _reserve
36     36     runner/provider.py:58-93  evaluate
36     36     runner/anthropic.py:122-157  _blocks
36     33     src/pheroos_interaction/sequential.py:436-471  certify_worst_case
35     33     runner/contracts.py:251-285  capacity_spec
34     34     runner/runtime.py:655-688  run
34     34     runner/orchestration.py:504-537  _verify_derivation
33     33     runner/evidence.py:284-316  dispatch
32     32     runner/contracts.py:328-359  _policy
30     30     runner/session.py:385-414  _publish_received
30     30     runner/runtime.py:522-551  _execute_tool
30     29     runner/runtime.py:860-889  resume_run
29     29     runner/runtime.py:313-341  _state
29     29     runner/audit.py:54-82  __init__
28     27     src/pheroos_interaction/inspection.py:115-142  _shared_map
28     27     src/pheroos_interaction/commitment.py:99-126  integrate_commitment
28     27     runner/anthropic.py:422-449  validate_script
27     27     runner/orchestration.py:300-326  _admit_tool
27     26     runner/runtime.py:600-626  _finalize
27     25     src/pheroos_interaction/commitment.py:323-349  optimal_stopping_rule
27     25     runner/policies.py:36-62  pick_threshold
26     26     runner/tools.py:306-331  _row_problems
26     26     runner/platform.py:334-359  propose
26     25     runner/tools.py:212-237  execute
25     24     src/pheroos_interaction/sequential.py:122-146  shared_map
25     24     runner/anthropic.py:293-317  extract
24     24     runner/runtime.py:630-653  metrics
24     24     runner/anthropic.py:242-265  _response_blocks
24     23     src/pheroos_interaction/sequential.py:79-102  garbling_matrix
24     23     runner/runtime.py:799-822  build_transports
24     23     runner/orchestration.py:683-706  blocked_work
24     23     runner/contracts.py:584-607  children_schema
24     22     runner/audit.py:179-202  _as_of
23     23     runner/inspection.py:132-154  _receipt
23     22     src/pheroos_interaction/sequential.py:536-558  plan_sequential
23     22     src/pheroos_interaction/sequential.py:493-515  certify_joint_corners
22     22     src/pheroos_interaction/sequential.py:218-239  build
22     22     runner/orchestration.py:277-298  _admit_model
22     21     src/pheroos_interaction/inspection.py:145-166  plan_inspection
22     21     runner/orchestration.py:372-393  record_accounting_violation
21     21     runner/worker.py:18-38  _plan
21     21     runner/platform.py:171-191  ready_work
21     21     runner/inspection.py:157-177  _result
21     21     runner/inspection.py:76-96  _config
21     21     runner/anthropic.py:356-376  _decode
21     20     runner/tools.py:420-440  build_registry
21     19     src/pheroos_interaction/sequential.py:368-388  risk_polynomial
20     20     runner/tools.py:164-183  register
20     20     runner/tools.py:131-150  read
20     19     runner/orchestration.py:126-145  _effective_reads
19     19     runner/tools.py:285-303  _totals_problems
19     19     runner/runtime.py:82-100  __init__
19     19     runner/orchestration.py:413-431  record_rejection
19     19     runner/inspection.py:99-117  _source
19     19     runner/contracts.py:230-248  model_config
19     18     runner/anthropic.py:272-290  _usage
18     18     runner/inspection.py:255-272  _snapshot_readonly
18     18     runner/evidence.py:208-225  _visible_artifacts
18     18     runner/anthropic.py:195-212  _tool_choice
18     18     runner/anthropic.py:402-419  __call__
18     17     src/pheroos_interaction/sequential.py:403-420  bernstein_bounds
18     17     runner/anthropic.py:215-232  freeze_request
18     16     runner/runtime.py:162-179  _resolver
