episode,world,component,condition,arm,n,status,public_accepted,success,stop,model_calls,tool_calls,input_tokens,output_tokens,tokens,control_operations,inspection_requests,inspection_dispatches,repeated_inspections,artifact_reuse,settled_receipt_reuse,event_bytes,materialized_bytes,coordination_request_bytes,prompt_message_exposures,repeated_prompt_message_exposures,unknown_calls,unknown_tokens,elapsed_ns,monetary_cost,monetary_cost_status,counts_toward_verdict
actionability-000-single-n1-D0,interval_intersection/dev_a,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,4,646,256,902,51,3,3,0,0,0,23695,5277,866,2,0,0,0,11240616218,,not_measured_local_inference,False
actionability-001-single-n1-D1,interval_intersection/dev_a,capability,D1,single,1,VALID_KNOWN,True,False,public_accepted_submission,2,5,1357,210,1567,75,3,3,0,0,0,36301,10241,1452,4,1,0,0,9412808141,,not_measured_local_inference,False
actionability-002-single-n1-D2,interval_intersection/dev_a,capability,D2,single,1,VALID_KNOWN,False,False,budget_deadline_stop,8,8,2648,1191,3839,164,0,0,0,0,0,81251,1660,2395,16,7,0,0,44282887558,,not_measured_local_inference,False
actionability-003-single-n1-D0,interval_intersection/dev_b,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,4,639,256,895,51,3,3,0,0,0,23695,5278,866,2,0,0,0,9296746362,,not_measured_local_inference,False
actionability-004-single-n1-D1,interval_intersection/dev_b,capability,D1,single,1,VALID_KNOWN,True,False,public_accepted_submission,2,5,1350,355,1705,75,3,3,0,0,0,36301,10230,1439,4,1,0,0,14845594450,,not_measured_local_inference,False
actionability-005-single-n1-D2,interval_intersection/dev_b,capability,D2,single,1,VALID_KNOWN,False,False,budget_deadline_stop,8,9,2644,887,3531,169,1,1,0,0,0,82982,1710,2363,16,7,0,0,35232909007,,not_measured_local_inference,False
actionability-006-single-n1-D0,dependency_readiness/dev_a,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,3,562,256,818,40,2,2,0,0,0,18273,3687,623,2,0,0,0,9182192224,,not_measured_local_inference,False
actionability-007-single-n1-D1,dependency_readiness/dev_a,capability,D1,single,1,VALID_KNOWN,True,False,public_accepted_submission,4,6,2375,510,2885,104,2,2,0,0,0,50964,14310,1976,8,3,0,0,19611603028,,not_measured_local_inference,False
actionability-008-single-n1-D2,dependency_readiness/dev_a,capability,D2,single,1,VALID_KNOWN,True,False,public_accepted_submission,7,9,3273,745,4018,152,2,2,0,0,0,73376,13144,2388,14,6,0,0,29161609256,,not_measured_local_inference,False
actionability-009-single-n1-D0,dependency_readiness/dev_b,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,3,549,256,805,40,2,2,0,0,0,18273,3666,623,2,0,0,0,10160546445,,not_measured_local_inference,False
actionability-010-single-n1-D1,dependency_readiness/dev_b,capability,D1,single,1,VALID_KNOWN,False,False,budget_deadline_stop,4,6,2323,510,2833,106,2,2,0,0,0,52250,14247,2061,8,3,0,0,20471459684,,not_measured_local_inference,False
actionability-011-single-n1-D2,dependency_readiness/dev_b,capability,D2,single,1,VALID_KNOWN,False,False,budget_deadline_stop,8,11,3366,747,4113,173,3,3,1,0,0,82589,10194,2443,16,7,0,0,29628202386,,not_measured_local_inference,False
actionability-012-single-n1-D0,inventory_reconciliation/dev_a,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,4,754,256,1010,51,3,3,0,0,0,23831,5616,888,2,0,0,0,10455996650,,not_measured_local_inference,False
actionability-013-single-n1-D1,inventory_reconciliation/dev_a,capability,D1,single,1,VALID_KNOWN,True,False,public_accepted_submission,4,7,3145,630,3775,127,3,3,0,0,0,64232,21653,2821,8,3,0,0,24299478939,,not_measured_local_inference,False
actionability-014-single-n1-D2,inventory_reconciliation/dev_a,capability,D2,single,1,VALID_KNOWN,False,False,budget_deadline_stop,8,10,3270,1178,4448,180,2,2,1,0,0,88568,6831,2832,16,7,0,0,43779835710,,not_measured_local_inference,False
actionability-015-single-n1-D0,inventory_reconciliation/dev_b,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,4,752,256,1008,51,3,3,0,0,0,23831,5616,888,2,0,0,0,10340811598,,not_measured_local_inference,False
actionability-016-single-n1-D1,inventory_reconciliation/dev_b,capability,D1,single,1,VALID_KNOWN,True,False,public_accepted_submission,3,6,2356,501,2857,101,3,3,0,0,0,50336,16269,2148,6,2,0,0,20551090750,,not_measured_local_inference,False
actionability-017-single-n1-D2,inventory_reconciliation/dev_b,capability,D2,single,1,VALID_KNOWN,False,False,budget_deadline_stop,8,9,3334,1048,4382,177,1,1,0,0,0,88116,8331,2937,16,7,0,0,38711885892,,not_measured_local_inference,False
actionability-018-single-n1-D0,version_correction/dev_a,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,2,381,256,637,29,1,1,0,0,0,12655,1805,348,2,0,0,0,9286693270,,not_measured_local_inference,False
actionability-019-single-n1-D1,version_correction/dev_a,capability,D1,single,1,VALID_KNOWN,True,True,public_accepted_submission,2,3,822,314,1136,45,1,1,0,0,0,20123,3534,543,4,1,0,0,12677009783,,not_measured_local_inference,False
actionability-020-single-n1-D2,version_correction/dev_a,capability,D2,single,1,VALID_KNOWN,True,True,public_accepted_submission,5,7,1595,426,2021,95,2,2,0,0,0,41950,2358,789,10,4,0,0,17114513288,,not_measured_local_inference,False
actionability-021-single-n1-D0,version_correction/dev_b,capability,D0,single,1,VALID_KNOWN,False,False,diagnostic_one_submission_opportunity,1,2,380,256,636,29,1,1,0,0,0,12655,1802,348,2,0,0,0,9672887163,,not_measured_local_inference,False
actionability-022-single-n1-D1,version_correction/dev_b,capability,D1,single,1,VALID_KNOWN,True,True,public_accepted_submission,3,4,1236,378,1614,63,1,1,0,0,0,28878,5304,785,6,2,0,0,14350128485,,not_measured_local_inference,False
actionability-023-single-n1-D2,version_correction/dev_b,capability,D2,single,1,VALID_KNOWN,True,True,public_accepted_submission,5,6,1722,422,2144,92,1,1,0,0,0,41526,3969,915,10,4,0,0,17167522683,,not_measured_local_inference,False
actionability-024-blackboard-n2-D2,interval_intersection/dev_b,intervention_probe,D2,blackboard,2,VALID_KNOWN,False,False,budget_deadline_stop,6,6,1941,1092,3033,161,0,0,0,0,0,84498,1556,3146,12,5,0,0,42823154926,,not_measured_local_inference,False
actionability-025-candidate-n2-D2,interval_intersection/dev_b,intervention_probe,D2,candidate,2,VALID_KNOWN,False,False,budget_deadline_stop,6,7,2183,693,2876,190,1,1,0,0,0,95039,6903,4080,12,5,0,0,28208583971,,not_measured_local_inference,False
actionability-026-blackboard-n2-D2,inventory_reconciliation/dev_b,intervention_probe,D2,blackboard,2,VALID_KNOWN,False,False,budget_deadline_stop,6,6,2117,994,3111,161,0,0,0,0,0,84497,1620,3253,12,5,0,0,37577979683,,not_measured_local_inference,False
actionability-027-candidate-n2-D2,inventory_reconciliation/dev_b,intervention_probe,D2,candidate,2,VALID_KNOWN,False,False,budget_deadline_stop,6,7,2356,707,3063,190,1,1,0,0,0,95141,7075,4252,12,5,0,0,29902271993,,not_measured_local_inference,False
