ordinal,world_id,family,seed,arm,n,status,complete,public_accepted,objective_success,output_at_cap,validation_stage,citations_origin,model_citation_selection_measured,max_new_tokens,model_calls,tool_calls,known_tokens,input_tokens,output_tokens,control_operations,call_units,unknown_tokens,unknown_calls,verification_operations,preparation_tools,event_bytes,model_prompt_bytes,materialized_bytes,coordination_request_bytes,elapsed_ns,model_elapsed_ns,peak_cuda_bytes,monetary_cost,monetary_cost_status,submitted_answer_json,expected_answer_json,prompt_sha256,episode_sha256,counts_toward_verdict
0,interval_intersection/dev_a,interval_intersection,1729,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,4,163,153,10,40,45,0,0,4,3,17247,759,3221,559,4186310186,3050602294,6316035072,,not_measured_local_inference,,"{""selection"":5}",36fefcf853f03cb4110e164751a994e7c3a5c02d38221923e947c67379f73de6,5292ff3b7c1e73e600a92f7d96874434769b92d506a25ff10f566068c093509b,False
1,interval_intersection/dev_a,interval_intersection,1729,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,247,209,38,40,45,0,0,4,3,17250,1040,3221,559,2412093974,1223057247,6320269312,,not_measured_local_inference,,"{""selection"":5}",ff62d1da9d4cce5aea53d8900c0035a429ad3ed20f9f44757188182f61677aa7,18f89ba3e700439270c251e38dad957f35708a92a8cb024cbe472ae80cde5eb2,False
2,interval_intersection/dev_a,interval_intersection,1729,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,902,646,256,40,45,0,0,4,3,17244,2521,3221,559,11443525144,10306419360,6373558272,,not_measured_local_inference,,"{""selection"":5}",8b338b31c618f587e050808db4ef14eb787f717d78d9e8aff3e067e82d293832,da628fa0275e459ccf7950d240b00737397b9429db247206f606eb5a79a8f297,False
3,interval_intersection/dev_a,interval_intersection,1729,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,4,1462,646,816,40,45,0,0,4,3,17247,2521,3221,559,26961711420,25761251921,6373558272,,not_measured_local_inference,,"{""selection"":5}",8b338b31c618f587e050808db4ef14eb787f717d78d9e8aff3e067e82d293832,a40e961d4c6e912ece030d2bdf24ca8dcbcb96f5c2d1494c239a9ec1fd916142,False
4,interval_intersection/dev_a,interval_intersection,2718,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,247,209,38,40,45,0,0,4,3,17250,1040,3221,559,2606189218,1450481005,6320269312,,not_measured_local_inference,,"{""selection"":5}",ff62d1da9d4cce5aea53d8900c0035a429ad3ed20f9f44757188182f61677aa7,15aab0db6390bc45183ad9e8032558fba4de292dab1c0c5b1d6131bfb6c28e42,False
5,interval_intersection/dev_a,interval_intersection,2718,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,902,646,256,40,45,0,0,4,3,17244,2521,3221,559,9743596381,8618550796,6373558272,,not_measured_local_inference,,"{""selection"":5}",8b338b31c618f587e050808db4ef14eb787f717d78d9e8aff3e067e82d293832,20421fac5b7bc13f77aa2ae255a11d8a582ef528b6eac19b99313acfe13c8633,False
6,interval_intersection/dev_a,interval_intersection,2718,envelope_1024,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,1024,1,4,1486,646,840,40,45,0,0,4,3,17247,2521,3221,559,29331358989,28154265432,6373558272,,not_measured_local_inference,,"{""selection"":5}",8b338b31c618f587e050808db4ef14eb787f717d78d9e8aff3e067e82d293832,6c9d8457e56ddca3770b7c22640bc402947d340206b3341831b69d5d6e92c25c,False
7,interval_intersection/dev_a,interval_intersection,2718,direct_json_256,1,VALID_KNOWN,True,False,False,False,action_schema,runtime_supplied,False,256,1,4,167,153,14,40,45,0,0,4,3,17247,759,3221,559,1731083204,542505023,6316035072,,not_measured_local_inference,,"{""selection"":5}",36fefcf853f03cb4110e164751a994e7c3a5c02d38221923e947c67379f73de6,55296491badb1347ec1b6bc7933da92a55aeaab286305a302059276c83ceb201,False
8,interval_intersection/dev_b,interval_intersection,1829,compact_action_256,1,VALID_KNOWN,True,False,False,False,action_schema,model_supplied,True,256,1,4,252,208,44,40,45,0,0,4,3,17250,1041,3222,559,2528969663,1325542065,6320148992,,not_measured_local_inference,,"{""selection"":3}",40be279623834f37d8b7f1ea681351cb2760fbbabe4e0b7c1eadaf005e1d28fc,bb4a4a35458d5acd8f6a31372c7e6a6a20f69b39628cf7f9a41b9a5d559e560b,False
9,interval_intersection/dev_b,interval_intersection,1829,envelope_256,1,VALID_KNOWN,True,False,False,True,transport_format,model_supplied,True,256,1,4,895,639,256,40,45,0,0,4,3,17244,2522,3222,559,8780093557,7639754799,6373025792,,not_measured_local_inference,,"{""selection"":3}",743cd25662f2e1afc8b5c8657df67500c9a76072a0f4ba185297081dec003cb6,d2e900135e0c1de3014ede2ad870200c67910ac9458762a789aa2fde1f8c5280,False
