world_id,family,arm,repeated_seeds,public_accepted_mean,objective_success_mean,output_at_cap_mean,model_calls_mean,tool_calls_mean,known_tokens_mean,input_tokens_mean,output_tokens_mean,control_operations_mean,call_units_mean,unknown_tokens_mean,unknown_calls_mean,verification_operations_mean,preparation_tools_mean,event_bytes_mean,model_prompt_bytes_mean,materialized_bytes_mean,coordination_request_bytes_mean,elapsed_ns_mean,model_elapsed_ns_mean
dependency_readiness/dev_a,dependency_readiness,direct_json_256,2,0.5,0.5,0.0,1.0,3.0,191.0,178.0,13.0,31.0,35.0,0.0,0.0,3.0,2.0,13113.0,877.0,2283.0,382.0,1345360001.5,437581795.5
dependency_readiness/dev_a,dependency_readiness,compact_action_256,2,0.0,0.0,0.0,1.0,3.0,273.5,223.0,50.5,31.0,35.0,0.0,0.0,3.0,2.0,13116.0,1114.0,2283.0,382.0,2572089500.0,1678704253.0
dependency_readiness/dev_a,dependency_readiness,envelope_256,2,0.0,0.0,1.0,1.0,3.0,818.0,562.0,256.0,31.0,35.0,0.0,0.0,3.0,2.0,13110.0,2310.0,2283.0,382.0,8981399296.5,8124675795.0
dependency_readiness/dev_a,dependency_readiness,envelope_1024,2,0.0,0.0,0.0,1.0,3.0,1285.0,562.0,723.0,31.0,35.0,0.0,0.0,3.0,2.0,13113.0,2310.0,2283.0,382.0,24005452768.5,23126201351.5
dependency_readiness/dev_b,dependency_readiness,direct_json_256,2,0.5,0.5,0.0,1.0,3.0,182.0,169.0,13.0,31.0,35.0,0.0,0.0,3.0,2.0,13113.0,851.0,2262.0,382.0,1346951416.5,399982674.0
dependency_readiness/dev_b,dependency_readiness,compact_action_256,2,0.0,0.0,0.0,1.0,3.0,264.5,214.0,50.5,31.0,35.0,0.0,0.0,3.0,2.0,13116.0,1088.0,2262.0,382.0,2646177166.5,1747065014.0
dependency_readiness/dev_b,dependency_readiness,envelope_256,2,0.0,0.0,1.0,1.0,3.0,805.0,549.0,256.0,31.0,35.0,0.0,0.0,3.0,2.0,13110.0,2284.0,2262.0,382.0,9169820083.5,8272088564.5
dependency_readiness/dev_b,dependency_readiness,envelope_1024,2,0.0,0.0,0.0,1.0,3.0,1252.0,549.0,703.0,31.0,35.0,0.0,0.0,3.0,2.0,13113.0,2284.0,2262.0,382.0,24606374769.0,23685169312.5
interval_intersection/dev_a,interval_intersection,direct_json_256,2,0.0,0.0,0.0,1.0,4.0,165.0,153.0,12.0,40.0,45.0,0.0,0.0,4.0,3.0,17247.0,759.0,3221.0,559.0,2958696695.0,1796553658.5
interval_intersection/dev_a,interval_intersection,compact_action_256,2,0.0,0.0,0.0,1.0,4.0,247.0,209.0,38.0,40.0,45.0,0.0,0.0,4.0,3.0,17250.0,1040.0,3221.0,559.0,2509141596.0,1336769126.0
interval_intersection/dev_a,interval_intersection,envelope_256,2,0.0,0.0,1.0,1.0,4.0,902.0,646.0,256.0,40.0,45.0,0.0,0.0,4.0,3.0,17244.0,2521.0,3221.0,559.0,10593560762.5,9462485078.0
interval_intersection/dev_a,interval_intersection,envelope_1024,2,0.0,0.0,0.0,1.0,4.0,1474.0,646.0,828.0,40.0,45.0,0.0,0.0,4.0,3.0,17247.0,2521.0,3221.0,559.0,28146535204.5,26957758676.5
interval_intersection/dev_b,interval_intersection,direct_json_256,2,0.0,0.0,0.0,1.0,4.0,164.0,152.0,12.0,40.0,45.0,0.0,0.0,4.0,3.0,17247.0,760.0,3222.0,559.0,1574751843.0,381507935.5
interval_intersection/dev_b,interval_intersection,compact_action_256,2,0.0,0.0,0.0,1.0,4.0,249.0,208.0,41.0,40.0,45.0,0.0,0.0,4.0,3.0,17250.0,1041.0,3222.0,559.0,2424477681.0,1226206130.5
interval_intersection/dev_b,interval_intersection,envelope_256,2,0.0,0.0,1.0,1.0,4.0,895.0,639.0,256.0,40.0,45.0,0.0,0.0,4.0,3.0,17244.0,2522.0,3222.0,559.0,8923306123.0,7748020627.0
interval_intersection/dev_b,interval_intersection,envelope_1024,2,0.0,0.0,0.0,1.0,4.0,1483.0,639.0,844.0,40.0,45.0,0.0,0.0,4.0,3.0,17247.0,2522.0,3222.0,559.0,27793261814.0,26631079554.5
inventory_reconciliation/dev_a,inventory_reconciliation,direct_json_256,2,0.5,0.5,0.0,1.0,4.0,285.5,261.0,24.5,40.0,45.0,0.0,0.0,4.0,3.0,17381.0,1172.0,3527.0,570.0,2089324757.5,846401720.0
inventory_reconciliation/dev_a,inventory_reconciliation,compact_action_256,2,0.0,0.0,0.0,1.0,4.0,412.0,318.0,94.0,40.0,45.0,0.0,0.0,4.0,3.0,17384.0,1464.0,3527.0,570.0,4106353660.0,2890915456.0
inventory_reconciliation/dev_a,inventory_reconciliation,envelope_256,2,0.0,0.0,1.0,1.0,4.0,1010.0,754.0,256.0,40.0,45.0,0.0,0.0,4.0,3.0,17380.0,2968.0,3527.0,570.0,10030182518.5,8819605537.5
inventory_reconciliation/dev_a,inventory_reconciliation,envelope_1024,2,0.0,0.0,1.0,1.0,4.0,1778.0,754.0,1024.0,40.0,45.0,0.0,0.0,4.0,3.0,17381.0,2968.0,3527.0,570.0,34980433402.0,33730217378.0
inventory_reconciliation/dev_b,inventory_reconciliation,direct_json_256,2,0.5,0.5,0.0,1.0,4.0,292.5,260.0,32.5,40.0,45.0,0.0,0.0,4.0,3.0,17381.0,1173.0,3527.0,570.0,2319181774.0,1047280636.5
inventory_reconciliation/dev_b,inventory_reconciliation,compact_action_256,2,0.0,0.0,0.0,1.0,4.0,393.0,317.0,76.0,40.0,45.0,0.0,0.0,4.0,3.0,17384.0,1465.0,3527.0,570.0,3542578759.5,2333469952.0
inventory_reconciliation/dev_b,inventory_reconciliation,envelope_256,2,0.0,0.0,1.0,1.0,4.0,1008.0,752.0,256.0,40.0,45.0,0.0,0.0,4.0,3.0,17380.0,2969.0,3527.0,570.0,9490968454.5,8314436230.5
inventory_reconciliation/dev_b,inventory_reconciliation,envelope_1024,2,0.0,0.0,1.0,1.0,4.0,1776.0,752.0,1024.0,40.0,45.0,0.0,0.0,4.0,3.0,17381.0,2969.0,3527.0,570.0,34223438654.5,33024622196.5
version_correction/dev_a,version_correction,direct_json_256,2,0.5,0.5,0.0,1.0,2.0,135.0,122.0,13.0,22.0,25.0,0.0,0.0,2.0,1.0,8783.0,626.0,1101.0,189.0,1055972036.0,424873144.0
version_correction/dev_a,version_correction,compact_action_256,2,0.0,0.0,0.0,1.0,2.0,197.0,156.0,41.0,22.0,25.0,0.0,0.0,2.0,1.0,8786.0,803.0,1101.0,189.0,1870689893.5,1239842999.0
version_correction/dev_a,version_correction,envelope_256,2,0.0,0.0,1.0,1.0,2.0,637.0,381.0,256.0,22.0,25.0,0.0,0.0,2.0,1.0,8780.0,1695.0,1101.0,189.0,8902191898.5,8274731881.0
version_correction/dev_a,version_correction,envelope_1024,2,0.0,0.0,0.0,1.0,2.0,851.5,381.0,470.5,22.0,25.0,0.0,0.0,2.0,1.0,8782.0,1695.0,1101.0,189.0,15551951459.5,14902460291.5
version_correction/dev_b,version_correction,direct_json_256,2,0.5,0.5,0.0,1.0,2.0,133.0,121.0,12.0,22.0,25.0,0.0,0.0,2.0,1.0,8783.0,622.0,1098.0,189.0,1022626684.0,401822298.5
version_correction/dev_b,version_correction,compact_action_256,2,0.0,0.0,0.0,1.0,2.0,185.0,155.0,30.0,22.0,25.0,0.0,0.0,2.0,1.0,8786.0,799.0,1098.0,189.0,1529739628.5,915768610.5
version_correction/dev_b,version_correction,envelope_256,2,0.0,0.0,1.0,1.0,2.0,636.0,380.0,256.0,22.0,25.0,0.0,0.0,2.0,1.0,8780.0,1691.0,1098.0,189.0,8673362298.5,8065645203.0
