density,arm,n,median_final_regret,median_shock_recovery_steps,median_spof_recovery_steps,median_bytes,median_messages,median_final_best_share,gate_pass_at_density
0.05,random_local,40,0.47517884499999996,500.0,500.0,0.0,0.0,0.062,False
0.05,greedy_local,40,0.05130288,500.0,0.0,0.0,0.0,0.46666667,False
0.05,stateless_local_aggregate,40,0.036463159999999994,1.0,0.0,2811203.0,14520.0,0.53333333,False
0.05,centralized_online,40,0.0423337,0.0,0.0,1423441.0,13860.0,0.53,False
0.05,field_local,40,0.13388072,500.0,0.0,2790529.5,14760.0,0.33333333,False
0.1,random_local,40,0.47651429,500.0,500.0,0.0,0.0,0.06066667,False
0.1,greedy_local,40,0.05304615,500.0,0.0,0.0,0.0,0.45,False
0.1,stateless_local_aggregate,40,0.036135219999999996,55.0,0.0,5708860.0,29040.0,0.55366667,False
0.1,centralized_online,40,0.036092075,50.0,0.0,2856566.0,27720.0,0.53333333,False
0.1,field_local,40,0.06966525,500.0,0.0,6296183.0,29520.0,0.31666666499999996,False
0.15,random_local,40,0.48088974,500.0,500.0,0.0,0.0,0.062444445,False
0.15,greedy_local,40,0.053794145,500.0,0.0,0.0,0.0,0.455555555,False
0.15,stateless_local_aggregate,40,0.013209245000000001,1.0,0.0,8620586.0,43560.0,0.77777778,False
0.15,centralized_online,40,0.012988880000000001,18.0,0.0,4288872.0,41580.0,0.77377778,False
0.15,field_local,40,0.044643405,84.0,0.0,10421487.0,44280.0,0.57777778,False
0.2,random_local,40,0.47681333,500.0,500.0,0.0,0.0,0.06333333,False
0.2,greedy_local,40,0.052640795000000004,500.0,0.0,0.0,0.0,0.45,False
0.2,stateless_local_aggregate,40,0.005509935,4.0,0.0,11607918.5,58200.0,0.88133333,False
0.2,centralized_online,40,0.005932,5.0,0.0,5728694.0,55500.0,0.87533333,False
0.2,field_local,40,0.040783454999999996,80.0,0.0,15231865.5,59100.0,0.6345000000000001,False
0.25,random_local,40,0.476412525,500.0,500.0,0.0,0.0,0.0632,False
0.25,greedy_local,40,0.05166544,500.0,0.0,0.0,0.0,0.46666667,False
0.25,stateless_local_aggregate,40,0.003212055,1.0,0.0,14505083.5,72720.0,0.9112,False
0.25,centralized_online,40,0.004122485,1.0,0.0,7160153.0,69360.0,0.8968,False
0.25,field_local,40,0.101056945,500.0,0.0,19519705.0,73860.0,0.4,False
0.3,random_local,40,0.47811813000000003,500.0,500.0,0.0,0.0,0.06188889,False
0.3,greedy_local,40,0.052382225000000004,500.0,0.0,0.0,0.0,0.45555556,False
0.3,stateless_local_aggregate,40,0.00347665,1.0,0.0,17420481.5,87240.0,0.9128888900000001,False
0.3,centralized_online,40,0.004454645,3.0,0.0,8593864.0,83220.0,0.88488889,False
0.3,field_local,40,0.061608365,50.0,0.0,23418860.0,88620.0,0.5083333299999999,False
0.35,random_local,40,0.47449514,500.0,500.0,0.0,0.0,0.061809525000000004,False
0.35,greedy_local,40,0.052680415,500.0,0.0,0.0,0.0,0.45714286,False
0.35,stateless_local_aggregate,40,0.0046876850000000005,1.0,0.0,20328768.5,101760.0,0.90295238,False
0.35,centralized_online,40,0.00497675,1.0,0.0,10031050.0,97080.0,0.882666665,False
0.35,field_local,40,0.050175435000000004,500.0,0.0,27198539.5,103380.0,0.57142857,False
