N,informed_fraction,arm,n,median_global_regret,median_steps_to_first_r_star_adoption,median_messages,median_bytes,admission_pass_at_cell,primary_pass_at_cell
100,0.02,solitary,40,0.1812464366,0.0,0.0,0.0,True,
100,0.02,oracle,40,0.0,0.0,0.0,0.0,True,
100,0.05,solitary,40,0.17745501875,0.0,0.0,0.0,True,
100,0.05,oracle,40,0.0,0.0,0.0,0.0,True,
100,0.1,solitary,40,0.16790713655,0.0,0.0,0.0,True,
100,0.1,oracle,40,0.0,0.0,0.0,0.0,True,
100,0.2,solitary,40,0.14885859075000002,0.0,0.0,0.0,True,
100,0.2,oracle,40,0.0,0.0,0.0,0.0,True,
400,0.02,solitary,40,0.1826946371,0.0,0.0,0.0,True,
400,0.02,oracle,40,0.0,0.0,0.0,0.0,True,
400,0.05,solitary,40,0.17746410315,0.0,0.0,0.0,True,
400,0.05,oracle,40,0.0,0.0,0.0,0.0,True,
400,0.1,solitary,40,0.16791170935,0.0,0.0,0.0,True,
400,0.1,oracle,40,0.0,0.0,0.0,0.0,True,
400,0.2,solitary,40,0.14931453020000002,0.0,0.0,0.0,True,
400,0.2,oracle,40,0.0,0.0,0.0,0.0,True,
1600,0.02,solitary,40,0.18305847985,0.0,0.0,0.0,True,
1600,0.02,oracle,40,0.0,0.0,0.0,0.0,True,
1600,0.05,solitary,40,0.17745348575,0.0,0.0,0.0,True,
1600,0.05,oracle,40,0.0,0.0,0.0,0.0,True,
1600,0.1,solitary,40,0.1681498238,0.0,0.0,0.0,True,
1600,0.1,oracle,40,0.0,0.0,0.0,0.0,True,
1600,0.2,solitary,40,0.1494285151,0.0,0.0,0.0,True,
1600,0.2,oracle,40,0.0,0.0,0.0,0.0,True,
