N,informed_fraction,arm,n,median_global_regret,median_steps_to_first_r_star_adoption,median_messages,median_bytes,admission_pass_at_cell,primary_pass_at_cell
100,0.02,solitary,40,0.1812464366,0.0,0.0,0.0,,False
100,0.02,naive_gossip,40,0.18198343615,0.0,200000.0,1200000.0,,False
100,0.02,couzin,40,0.1833729512,0.0,200000.0,1200000.0,,False
100,0.05,solitary,40,0.17745501875,0.0,0.0,0.0,,False
100,0.05,naive_gossip,40,0.17273140565,0.0,200000.0,1200000.0,,False
100,0.05,couzin,40,0.17551787060000001,0.0,200000.0,1200000.0,,False
100,0.1,solitary,40,0.16790713655,0.0,0.0,0.0,,False
100,0.1,naive_gossip,40,0.15418209615,0.0,200000.0,1200000.0,,False
100,0.1,couzin,40,0.16520757215,0.0,200000.0,1200000.0,,False
100,0.2,solitary,40,0.14885859075000002,0.0,0.0,0.0,,False
100,0.2,naive_gossip,40,0.10417011409999999,0.0,200000.0,1200000.0,,False
100,0.2,couzin,40,0.1417524265,0.0,200000.0,1200000.0,,False
400,0.02,solitary,40,0.1826946371,0.0,0.0,0.0,,False
400,0.02,naive_gossip,40,0.18242518945,0.0,800000.0,4800000.0,,False
400,0.02,couzin,40,0.18212219835,0.0,800000.0,4800000.0,,False
400,0.05,solitary,40,0.17746410315,0.0,0.0,0.0,,False
400,0.05,naive_gossip,40,0.17288905934999999,0.0,800000.0,4800000.0,,False
400,0.05,couzin,40,0.1758996588,0.0,800000.0,4800000.0,,False
400,0.1,solitary,40,0.16791170935,0.0,0.0,0.0,,False
400,0.1,naive_gossip,40,0.1533876648,0.0,800000.0,4800000.0,,False
400,0.1,couzin,40,0.1661799456,0.0,800000.0,4800000.0,,False
400,0.2,solitary,40,0.14931453020000002,0.0,0.0,0.0,,False
400,0.2,naive_gossip,40,0.10486253235000001,0.0,800000.0,4800000.0,,False
400,0.2,couzin,40,0.14492176485,0.0,800000.0,4800000.0,,False
1600,0.02,solitary,40,0.18305847985,0.0,0.0,0.0,,False
1600,0.02,naive_gossip,40,0.18277942445,0.0,3200000.0,19200000.0,,False
1600,0.02,couzin,40,0.18274872005,0.0,3200000.0,19200000.0,,False
1600,0.05,solitary,40,0.17745348575,0.0,0.0,0.0,,False
1600,0.05,naive_gossip,40,0.174152733,0.0,3200000.0,19200000.0,,False
1600,0.05,couzin,40,0.1764443305,0.0,3200000.0,19200000.0,,False
1600,0.1,solitary,40,0.1681498238,0.0,0.0,0.0,,False
1600,0.1,naive_gossip,40,0.15133530905,0.0,3200000.0,19200000.0,,False
1600,0.1,couzin,40,0.16612294225000002,0.0,3200000.0,19200000.0,,False
1600,0.2,solitary,40,0.1494285151,0.0,0.0,0.0,,False
1600,0.2,naive_gossip,40,0.1017965894,0.0,3200000.0,19200000.0,,False
1600,0.2,couzin,40,0.14448395884999998,0.0,3200000.0,19200000.0,,False
